분류,분류코드,직업,직업코드,skill
소프트웨어,24,시스템 소프트웨어 개발자(프로그래머),133101,C/C++/C#/Java/Spring Boot/ Python/ RDBMS/ Linux/ Docker
소프트웨어,24,펌웨어 및 임베디드 소프트웨어 프로그래머,133102,C/C++/Java/Android(Java)/Android(Kotlin)/Linux
소프트웨어,24,응용 소프트웨어 개발자,133200,C/C++/Java/델파이
소프트웨어,24,JAVA 프로그래밍 언어 전문가,133201,Java/오라클
소프트웨어,24,C언어 및 그 외 프로그래밍 언어 전문가,133202,C/C++
소프트웨어,24,"범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)",133203,Java/C/C++
소프트웨어,24,"산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)",133204,C++/C#/php/Android(Java)/MySQL
소프트웨어,24,네트워크 프로그래머,133205,소켓 프로그래밍
소프트웨어,24,게임 프로그래머,133206,C++ / C#/OpenGL/DirectX/자료구조/Algorithm/Multi Thread 프로그래밍
소프트웨어,24,모바일 애플리케이션 프로그래머(앱·어플 개발),133207,Java/Kotlin/Objective-C/Swift/MVVM 패턴/Retrofit/RESTful API
소프트웨어,24,웹 개발자(웹 엔지니어·웹 프로그래머),"133300, 133301","Java/Spring / Vue.js / React / GO,SQL/HTML/CSS/Javascript"
소프트웨어,24,웹 기획자,133302,UX/UI 기획 및 설계 
소프트웨어,24,IT 테스터 및 IT QA 전문가,133900,"APP,Web,Mobile 연동 테스트 경험"
데이터·네트워크 및 시스템 운영,25,데이터 전문가,134100,NoSQL / RDBMS / DB 모델링 / SQL Server
데이터·네트워크 및 시스템 운영,25,데이터 설계 및 프로그래머,134101,
데이터·네트워크 및 시스템 운영,25,데이터 분석가(빅데이터 분석가),134102,Python / R/ML/딥러닝/TensorFlow/Pytorch/Hadoop/Spark/Hive
데이터·네트워크 및 시스템 운영,25,데이터베이스 운영·관리자,134103,MySQL/NoSQL/데이터 분석/데이터 아키텍처
데이터·네트워크 및 시스템 운영,25,네트워크 시스템 개발자,134200,Angular/AWS/C/C++/JAVA/JSP/Python/React/MySQL/NoSQL/정보처리기사(자격증)
데이터·네트워크 및 시스템 운영,25,정보시스템 운영자,134301,HP-UX 운영 경험/정보처리기사(자격증)
데이터·네트워크 및 시스템 운영,25,네트워크 관리자(클라우딩컴퓨터운영관리자),134302,네트워크관리사(자격증)/도커/쿠버네티스
